Name;MODELS;ER;BPM;TOTAL;BPM AND ER;MODELs AND BPM;ER AND MODELS;3 OUT OF 3;2 OUT OF 3;1 out of 3 and more than 1;;;;;;;;;;
Inés Pederiva;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Alexis Muller;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Graeme Simsion;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Ana Ivanchikj;1;0;2;3;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;;;;;;;;;;
Jun Liu 0027;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Jian Yang 0001;0;0;2;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Raghava Rao Mukkamala;0;0;1;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
José N. Oliveira;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Assia Alexandrova;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Ann Maes;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Sebastian Oster;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Souvik Barat;4;0;0;4;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Henning Köhler;0;2;0;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Shijie Zhou;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Karlheinz Bulheller;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Klaus Eder;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Patricia Lago;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Christian Gerth;3;0;2;5;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;;;;;;;;;;
Sudipto Ghosh;3;0;0;3;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Anders Lofberg;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Mathieu Braem;0;0;1;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Joerg Evermann;0;2;0;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Elda Paja;0;5;0;5;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Jan Pettersen Nytun;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
